Date,Incident Type,Place of Origin,Casualties
11/10/2020,Non-combatant/Wounded,NK: Martakert-Terter,1
11/14/2020,Non-combatant/Killed,NK: Hadrut-Jebrail-Fizuli,1
11/14/2020,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
11/14/2020,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
11/16/2020,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
11/23/2020,Non-combatant/Wounded,NK: Martakert-Terter,4
11/23/2020,Combatant/Killed,NK: Martakert-Terter,1
11/28/2020,Non-combatant/Killed,NK: Hadrut-Jebrail-Fizuli,4
12/2/2020,Combatant/Killed,NK: Martakert-Terter,2
12/11/2020,Combatant/Killed,NK: Shusha-Stepanakert,3
12/12/2020,Combatant/Killed,NK: Shusha-Stepanakert,9
12/13/2020,Combatant/Killed,NK: Hadrut-Jebrail-Fizuli,1
12/14/2020,Non-combatant/Killed,NK: Agdam-Askeran,1
12/14/2020,Combatant/Wounded,NK: Agdam-Askeran,1
1/1/2021,Non-combatant/Killed,NK: Hadrut-Jebrail-Fizuli,1
1/2/2021,Combatant/Killed,Armenia-Azerbaijan: Kapan-Kubatli,1
1/6/2021,Combatant/Killed,NK: Hadrut-Jebrail-Fizuli,6
1/6/2021,Combatant/Killed,NK: Hadrut-Jebrail-Fizuli,1
1/6/2021,Combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
1/12/2021,Combatant/Killed,Armenia-Azerbaijan: Kapan-Kubatli,1
1/13/2021,Non-combatant/Killed,NK: Martakert-Terter,1
1/13/2021,Combatant/Wounded,NK: Shusha-Stepanakert,1
1/14/2021,Non-combatant/Wounded,NK: Martakert-Terter,1
1/18/2021,Non-combatant/Killed,NK: Hadrut-Jebrail-Fizuli,1
1/19/2021,Non-combatant/Wounded,Armenia-Azerbaijan: Kapan-Kubatli,2
1/21/2021,Combatant/Killed,NK: Hadrut-Jebrail-Fizuli,1
1/22/2021,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
1/28/2021,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
1/29/2021,Non-combatant/Wounded,NK: Agdam-Askeran,1
2/3/2021,Non-combatant/Killed,NK: Hadrut-Jebrail-Fizuli,1
