Date,Person(s) Detained,Origin,Detentions
11/10/2020,Armenian non-combatant,NK: Shusha-Stepanakert,2
11/17/2020,Armenian non-combatant,NK: Agdam-Askeran,2
12/18/2020,Armenian combatant,NK: Shusha-Stepanakert,62
1/17/2021,Armenian non-combatant,NK: Agdam-Askeran,1
5/27/2021,Armenian combatant,Armenia-Azerbaijan: Vardenis-Kelbajar,6
6/8/2021,Armenian combatant,Armenia-Azerbaijan: Goris-Lachin,1
6/12/2021,Armenian non-combatant,Armenia-Azerbaijan: Goris-Lachin,2
7/14/2021,Armenian combatant,Armenia-Azerbaijan: Goris-Lachin,2
7/19/2021,Armenian non-combatant,Armenia-Azerbaijan: Goris-Lachin,1
7/22/2021,Armenian non-combatant,NK: Agdam-Askeran,1
7/26/2021,Armenian non-combatant,NK: Martuni-Hadrut,1
8/22/2021,Armenian combatant,Armenia-Azerbaijan: Goris-Lachin,1
8/26/2021,Azerbaijani combatant,NK: Martakert-Terter,1
9/19/2021,Armenian non-combatant,Armenia-Azerbaijan: Goris-Lachin,2
11/23/2021,Armenian non-combatant,NK: Agdam-Askeran,1
11/26/2021,Armenian combatant,Armenia-Azerbaijan: Vardenis-Kelbajar,1
12/4/2021,Armenian non-combatant,NK: Martuni-Hadrut,1
12/5/2021,Armenian combatant,Armenia-Azerbaijan: Vardenis-Kelbajar,10
12/19/2021,Armenian combatant,Armenia-Azerbaijan: Vardenis-Kelbajar,10
12/20/2021,Azerbaijani combatant,Armenia-Azerbaijan: Kapan-Kubatli,2
12/29/2021,Armenian combatant,Armenia-Azerbaijan: Vardenis-Kelbajar,5
12/29/2021,Armenian non-combatant,NK: Agdam-Askeran,1
1/13/2022,Armenian non-combatant,Armenia-Azerbaijan: Goris-Lachin,1
1/13/2022,Armenian non-combatant,Armenia-Azerbaijan: Goris-Lachin,1
2/7/2022,Armenian combatant,Armenia-Azerbaijan: Vardenis-Kelbajar,5
4/24/2022,Armenian combatant,Armenia-Azerbaijan: Kapan-Kubatli,1
7/14/2022,Armenian non-combatant,Armenia-Azerbaijan: Nakhchivan 2,1
7/24/2022,Azerbaijani combatant,Armenia-Azerbaijan: Vardenis-Kelbajar,1
8/9/2022,Armenian combatant,Armenia-Azerbaijan: Vardenis-Kelbajar,1
9/13/2022,Armenian combatant,ARM-AZ Border (Sep 2022 escalation),17
9/15/2022,Azerbaijani combatant,ARM-AZ Border (Sep 2022 escalation),1
9/15/2022,Armenian non-combatant,Armenia-Azerbaijan: Kapan-Kubatli,1
1/8/2023,Armenian non-combatant,NK: Martuni-Hadrut,1
4/10/2023,Azerbaijani combatant,Armenia-Azerbaijan: Nakhchivan 2,2
5/26/2023,Armenian combatant,Armenia-Azerbaijan: Kapan-Kubatli,2
7/29/2023,Armenian non-combatant,Armenia-Azerbaijan: Goris-Lachin,1
8/1/2023,Armenian non-combatant,Armenia-Azerbaijan: Goris-Lachin,1
8/16/2023,Azerbaijani combatant,Armenia-Azerbaijan: Vardenis-Kelbajar,1
8/29/2023,Armenian non-combatant,Armenia-Azerbaijan: Goris-Lachin,3
