Date,Type of Casualty,Number
1/3/2015,Military Killed,2
1/3/2015,Military Wounded,1
1/11/2015,Civilians Killed,1
1/11/2015,Military Killed,1
1/12/2015,Military Wounded,1
1/17/2015,Military Killed,1
1/20/2015,Military Killed,1
1/21/2015,Military Killed,1
1/21/2015,Military Wounded,1
1/21/2015,Military Killed,1
1/23/2015,Military Killed,2
1/24/2015,Military Killed,3
1/24/2015,Military Wounded,2
1/31/2015,Military Killed,1
2/5/2015,Military Killed,1
2/5/2015,Civilians Wounded,1
2/5/2015,Civilians Killed,1
2/5/2015,Civilians Wounded,1
2/5/2015,Military Killed,1
2/10/2015,Military Killed,1
2/14/2015,Military Killed,1
2/21/2015,Military Killed,1
2/28/2015,Military Killed,2
3/3/2015,Military Killed,1
3/6/2015,Military Wounded,1
3/13/2015,Military Killed,1
3/19/2015,Military Killed,4
3/29/2015,Military Killed,1
4/8/2015,Military Killed,1
4/16/2015,Military Killed,1
5/8/2015,Military Killed,1
6/11/2015,Military Killed,1
6/23/2015,Military Killed,2
6/26/2015,Military Killed,1
7/25/2015,Military Killed,1
8/12/2015,Military Killed,1
9/3/2015,Military Killed,1
9/24/2015,Civilians Killed,2
9/24/2015,Civilians Wounded,2
9/24/2015,Civilians Killed,1
9/25/2015,Military Wounded,4
9/25/2015,Military Killed,1
9/28/2015,Military Killed,3
9/28/2015,Civilians Wounded,1
11/12/2015,Military Killed,2
11/30/2015,Military Killed,2
11/30/2015,Military Wounded,1
12/4/2015,Military Killed,1
12/5/2015,Military Wounded,1
12/5/2015,Military Killed,2
12/5/2015,Military Wounded,2
12/7/2015,Military Killed,1
12/8/2015,Military Killed,1
12/14/2015,Military Killed,1
12/16/2015,Military Killed,1
12/17/2015,Military Killed,1
12/18/2015,Military Killed,2
12/19/2015,Military Killed,1
12/20/2015,Military Killed,1
12/25/2015,Military Killed,1
1/9/2016,Military Killed,1
1/29/2016,Military Killed,1
2/3/2016,Military Killed,1
2/5/2016,Military Killed,1
2/10/2016,Military Killed,1
2/11/2016,Civilians Killed,1
2/12/2016,Military Wounded,1
2/13/2016,Military Killed,1
3/17/2016,Military Killed,1
3/19/2016,Military Wounded,2
3/25/2016,Military Killed,1
3/26/2016,Civilians Wounded,1
3/27/2016,Military Killed,2
4/14/2016,Military Killed,1
4/14/2016,Military Killed,1
4/14/2016,Military Killed,1
4/16/2016,Military Wounded,1
4/18/2016,Military Wounded,2
4/19/2016,Military Killed,1
4/21/2016,Military Killed,1
4/23/2016,Military Wounded,1
4/26/2016,Military Killed,2
4/27/2016,Military Killed,1
4/28/2016,Military Killed,1
4/28/2016,Civilians Wounded,1
4/30/2016,Military Killed,2
5/1/2016,Military Killed,1
5/8/2016,Military Killed,1
5/12/2016,Military Killed,1
5/12/2016,Military Wounded,1
5/13/2016,Military Killed,1
5/14/2016,Military Wounded,1
5/17/2016,Military Killed,1
5/17/2016,Military Killed,1
7/5/2016,Military Killed,1
7/15/2016,Military Killed,1
7/23/2016,Military Wounded,1
7/23/2016,Military Killed,1
7/29/2016,Military Wounded,1
7/31/2016,Military Wounded,1
8/5/2016,Military Wounded,1
9/25/2016,Military Killed,1
10/6/2016,Military Killed,1
10/7/2016,Military Wounded,1
10/11/2016,Military Killed,1
10/26/2016,Military Killed,1
11/15/2016,Military Killed,1
12/29/2016,Military Killed,3
12/29/2016,Military Killed,1
1/15/2017,Military Killed,1
1/18/2017,Military Killed,1
1/22/2017,Military Killed,1
2/1/2017,Military Wounded,1
2/6/2017,Military Killed,1
2/8/2017,Military Killed,1
2/8/2017,Military Wounded,1
2/11/2017,Military Killed,1
2/22/2017,Military Killed,1
2/25/2017,Military Killed,5
2/28/2017,Military Killed,1
3/1/2017,Military Killed,1
3/11/2017,Military Killed,1
3/28/2017,Military Killed,1
3/31/2017,Military Killed,1
4/17/2017,Military Killed,1
4/24/2017,Military Killed,1
4/28/2017,Military Killed,1
5/10/2017,Civilians Wounded,1
5/20/2017,Military Killed,1
5/26/2017,Military Killed,1
6/16/2017,Military Killed,1
6/16/2017,Military Killed,3
6/17/2017,Military Killed,1
7/4/2017,Military Killed,2
7/4/2017,Civilians Wounded,1
7/7/2017,Military Killed,3
7/10/2017,Military Killed,1
7/30/2017,Military Killed,1
8/14/2017,Military Killed,1
8/27/2017,Military Killed,1
9/28/2017,Military Killed,1
10/19/2017,Military Killed,1
10/22/2017,Military Killed,1
12/14/2017,Military Killed,1
1/7/2018,Military Killed,1
1/19/2018,Military Killed,1
2/7/2018,Military Killed,1
2/22/2018,Military Killed,1
4/9/2018,Military Killed,1
4/25/2018,Military Wounded,1
5/13/2018,Military Wounded,1
5/20/2018,Military Killed,1
6/7/2018,Military Wounded,1
6/10/2018,Military Killed,1
7/21/2018,Military Killed,1
7/26/2018,Military Wounded,1
8/12/2018,Military Wounded,1
9/19/2018,Military Killed,1
9/22/2018,Military Killed,1
10/23/2018,Military Wounded,1
3/16/2019,Civilians Wounded,1
3/26/2019,Military Killed,1
4/30/2019,Military Wounded,1
5/4/2019,Military Wounded,1
5/30/2019,Military Killed,1
6/1/2019,Military Killed,1
6/9/2019,Military Killed,1
6/13/2019,Military Killed,1
7/27/2019,Military Wounded,1
7/28/2019,Military Killed,1
10/2/2019,Civilians Killed,1
10/3/2019,Military Killed,1
11/29/2019,Military Wounded,1
1/7/2020,Military Killed,1
1/11/2020,Military Wounded,1
1/15/2020,Military Wounded,1
2/15/2020,Military Killed,1
2/20/2020,Military Killed,1
2/24/2020,Military Killed,1
3/5/2020,Military Killed,1
3/7/2020,Military Killed,1
3/10/2020,Military Killed,1
3/30/2020,Civilians Wounded,1
4/5/2020,Military Wounded,1
5/4/2020,Military Killed,1
7/12/2020,Military Killed,4
7/14/2020,Military Killed,11
7/14/2020,Civilians Killed,1
7/16/2020,Military Killed,1
7/16/2020,Civilians Wounded,1
7/18/2020,Military Wounded,12
7/23/2020,Military Killed,1
7/29/2020,Military Wounded,1
9/15/2020,Military Wounded,1
9/16/2020,Military Killed,1
9/21/2020,Military Killed,1
9/21/2020,Military Wounded,1
