ID,Date,Category,Count
71742,1/3/2015,Combatants Killed,1
73320,1/3/2015,Combatants Killed,1
73280,1/3/2015,Combatants Wounded,1
73269,1/11/2015,Non-combatants Killed,1
73319,1/11/2015,Combatants Killed,1
73291,1/12/2015,Combatants Wounded,1
71743,1/17/2015,Combatants Killed,1
73270,1/20/2015,Combatants Killed,1
73281,1/21/2015,Combatants Killed,1
73292,1/21/2015,Combatants Wounded,1
71744,1/21/2015,Combatants Killed,1
73282,1/23/2015,Combatants Killed,1
73321,1/23/2015,Combatants Killed,1
73311,2/5/2015,Combatants Killed,1
73310,2/5/2015,Non-combatants Wounded,1
73309,2/5/2015,Non-combatants Killed,1
73313,2/10/2015,Combatants Killed,1
73314,2/14/2015,Combatants Killed,1
73294,2/28/2015,Combatants Killed,1
73352,2/28/2015,Combatants Killed,1
71746,3/3/2015,Combatants Killed,1
71747,3/19/2015,Combatants Killed,1
73351,3/19/2015,Combatants Killed,1
73350,3/19/2015,Combatants Killed,1
73349,3/19/2015,Combatants Killed,1
73285,3/29/2015,Combatants Killed,1
71748,4/8/2015,Combatants Killed,1
73286,5/8/2015,Combatants Killed,1
73295,6/11/2015,Combatants Killed,1
73273,6/26/2015,Combatants Killed,1
71750,8/12/2015,Combatants Killed,1
73276,9/3/2015,Combatants Killed,1
73288,9/24/2015,Non-combatants Killed,1
71751,9/24/2015,Non-combatants Wounded,1
73348,9/24/2015,Non-combatants Wounded,1
73274,9/24/2015,Non-combatants Killed,1
73347,9/24/2015,Non-combatants Killed,1
73275,11/12/2015,Combatants Killed,1
73346,11/12/2015,Combatants Killed,1
71754,12/4/2015,Combatants Killed,1
71755,12/5/2015,Combatants Wounded,1
71759,12/8/2015,Combatants Killed,1
71763,12/18/2015,Combatants Killed,1
73345,12/18/2015,Combatants Killed,1
71764,12/19/2015,Combatants Killed,1
71766,12/25/2015,Combatants Killed,1
71767,1/9/2016,Combatants Killed,1
71770,2/5/2016,Combatants Killed,1
73297,2/11/2016,Non-combatants Killed,1
71772,2/12/2016,Combatants Wounded,1
71774,3/17/2016,Combatants Killed,1
71777,3/26/2016,Non-combatants Wounded,1
71779,4/14/2016,Combatants Killed,1
71780,4/14/2016,Combatants Killed,1
71782,4/16/2016,Combatants Wounded,1
71783,4/18/2016,Combatants Wounded,1
73344,4/18/2016,Combatants Wounded,1
71784,4/19/2016,Combatants Killed,1
71785,4/21/2016,Combatants Killed,1
71786,4/23/2016,Combatants Wounded,1
73298,4/26/2016,Combatants Killed,1
73343,4/26/2016,Combatants Killed,1
71787,4/27/2016,Combatants Killed,1
71788,4/28/2016,Combatants Killed,1
71789,4/30/2016,Combatants Killed,1
73342,4/30/2016,Combatants Killed,1
71790,5/1/2016,Combatants Killed,1
71792,5/12/2016,Combatants Killed,1
71795,5/14/2016,Combatants Wounded,1
71796,5/17/2016,Combatants Killed,1
71800,7/23/2016,Combatants Wounded,1
71801,7/23/2016,Combatants Killed,1
71802,7/29/2016,Combatants Wounded,1
71803,7/31/2016,Combatants Wounded,1
71804,9/25/2016,Combatants Killed,1
71806,10/7/2016,Combatants Wounded,1
71807,10/11/2016,Combatants Killed,1
73299,10/26/2016,Combatants Killed,1
