Дата,Category,Destination Point,Число
11/10/2020,Армянский некомбатант,NK: Shusha-Stepanakert,2
11/17/2020,Армянский некомбатант,NK: Agdam-Askeran,2
12/18/2020,Армянский комбатант,NK: Shusha-Stepanakert,62
1/17/2021,Армянский некомбатант,NK: Agdam-Askeran,1
5/27/2021,Армянский комбатант,Armenia-Azerbaijan: Vardenis-Kelbajar,6
6/8/2021,Армянский комбатант,Armenia-Azerbaijan: Goris-Lachin,1
6/12/2021,Армянский некомбатант,Armenia-Azerbaijan: Goris-Lachin,2
7/14/2021,Армянский комбатант,Armenia-Azerbaijan: Goris-Lachin,2
7/19/2021,Армянский некомбатант,Armenia-Azerbaijan: Goris-Lachin,1
7/22/2021,Армянский некомбатант,NK: Agdam-Askeran,1
7/26/2021,Армянский некомбатант,NK: Martuni-Hadrut,1
8/22/2021,Армянский комбатант,Armenia-Azerbaijan: Goris-Lachin,1
8/26/2021,Азербайджанский комбатант,NK: Martakert-Terter,1
9/19/2021,Армянский некомбатант,Armenia-Azerbaijan: Goris-Lachin,2
11/23/2021,Армянский некомбатант,NK: Agdam-Askeran,1
11/26/2021,Армянский комбатант,Armenia-Azerbaijan: Vardenis-Kelbajar,1
12/4/2021,Армянский некомбатант,NK: Martuni-Hadrut,1
12/5/2021,Армянский комбатант,Armenia-Azerbaijan: Vardenis-Kelbajar,10
12/19/2021,Армянский комбатант,Armenia-Azerbaijan: Vardenis-Kelbajar,10
12/20/2021,Азербайджанский комбатант,Armenia-Azerbaijan: Kapan-Kubatli,2
12/29/2021,Армянский комбатант,Armenia-Azerbaijan: Vardenis-Kelbajar,5
12/29/2021,Армянский некомбатант,NK: Agdam-Askeran,1
1/13/2022,Армянский некомбатант,Armenia-Azerbaijan: Goris-Lachin,1
1/13/2022,Армянский некомбатант,Armenia-Azerbaijan: Goris-Lachin,1
2/7/2022,Армянский комбатант,Armenia-Azerbaijan: Vardenis-Kelbajar,5
4/24/2022,Армянский комбатант,Armenia-Azerbaijan: Kapan-Kubatli,1
7/14/2022,Армянский некомбатант,Armenia-Azerbaijan: Nakhchivan 2,1
7/24/2022,Азербайджанский комбатант,Armenia-Azerbaijan: Vardenis-Kelbajar,1
8/9/2022,Армянский комбатант,Armenia-Azerbaijan: Vardenis-Kelbajar,1
9/13/2022,Армянский комбатант,ARM-AZ Border (Sep 2022 escalation),17
9/15/2022,Азербайджанский комбатант,ARM-AZ Border (Sep 2022 escalation),1
9/15/2022,Армянский некомбатант,Armenia-Azerbaijan: Kapan-Kubatli,1
1/8/2023,Армянский некомбатант,NK: Martuni-Hadrut,1
4/10/2023,Азербайджанский комбатант,Armenia-Azerbaijan: Nakhchivan 2,2
5/26/2023,Армянский комбатант,Armenia-Azerbaijan: Kapan-Kubatli,2
7/29/2023,Армянский некомбатант,Armenia-Azerbaijan: Goris-Lachin,1
8/1/2023,Армянский некомбатант,Armenia-Azerbaijan: Goris-Lachin,1
8/16/2023,Армянский комбатант,Armenia-Azerbaijan: Vardenis-Kelbajar,1
8/29/2023,Азербайджанский некомбатант,Armenia-Azerbaijan: Goris-Lachin,3
