Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background,Original Media Link,,,,,,,
2015,1,15,,,,,,15 January 2015,Aliyev: NK Azerbaijan's native land,"During an official visit to Turkey, Azerbaijani President Ilham Aliyev accused the Armenian side of staging hostilities along the front line: ""Nagorno-Karabakh Azerbaijan's native land. Azerbaijan will restore its sovereignty and territorial integrity"", he said. ",https://icg-prod.s3.amazonaws.com/NKVE_2015_Jan_15.jpg,Office to the President of Azerbaijan,,https://icg-prod.s3.amazonaws.com/NKVE_2015_Jan_15.jpg,,,#003e51,,,,,,,,
2015,1,26,,,,,,26 January 2015,Sargsyan warns of preemptive strikes,"Armenian President Serzh Sargsyan warned that Armernia reserved the right to launch a preemptive strike in case ""we register a larger and more threatening accumulation of forces across our borders and the Line of Contact"".",,,,,,,#003e51,,,,,,,,
2015,1,27,,2015,2,5,,27 January-5 February 2015,"Co-Chairs call for ceasefire, peace talks","In a meeting with Azerbaijan's foreign ministers, the OSCE Minsk Group Co-Chairs voiced ""serious concern"" about reported incursions and called on Baku to observe its commitments to a peaceful resolution of the conflict. In separate talks with Armenia's foreign minister, they urged Yerevan ""to show more flexibility"" and begin ""comprehensive negotiations as soon as possible to reach a lasting settlement"". ",,,,,,,#003e51,,,,,,,,
2015,1,28,,,,,,28 January 2015,Sargsyan calls for NK independence ,"Armenian President Serzh Sargsyan warned that plans to destroy Armenia can ""be heard from the lips of the neighboring country's officials"". He called for Nagorno-Karabakh's ""right to live in freedom"" in a speech to servicemen on Army Day, which commemorates the formation of the Armenian armed forces.",,,,,,,#003e51,,,,,,,,
2015,2,4,,,,,,4 February 2015,Russian general says deeply concerned over front-line clashes,The secretary general of the Russian-led Collective Security Treaty Organization (CSTO) Nikolai Bordyuzha expressed “deep concern” regarding recent flare-ups along the Armenian-Azerbaijani border and the Line of Contact. ,,,,,,,#003e51,,,,,,,,
2015,2,7,,,,,,7 February 2015,"OSCE CiO,Co-Chairs demand immediate start to peace process","Following a January spike in tensions with 12 dead and 18 wounded, the OSCE Chairman-in-Office and the OSCE Minsk Group Co-Chairs called on all sides to cease the use of force and end incursions, targetting villages and civilans. ""We strongly urge the sides to find the political will to begin this process immediately without excuses"", they said in a statement.",,,,,,,#003e51,,,,,,,,
2015,2,16,,,,,,16 February 2015,Sargsyan recalls Turkey protocols,"Armenian President Serzh Sargsyan shelved two accords signed with Turkey aimed at normalising relations between the bitter regional rivals. The two protocols, signed by the Armenian and Turkish foreign ministers in 2009, would have reestablished diplomatic relations and reopened the border between the two. Sargsyan asked parliament to return the protocols to him over Turkey's position on Nagorno-Karabakh.
",https://icg-prod.s3.amazonaws.com/NKVE_2015_Feb_16.png,Office to the President of Armenia,,https://icg-prod.s3.amazonaws.com/NKVE_2015_Feb_16.png,,,#003e51,,,,,,,,
2015,2,16,,2015,2,19,,16-19 February 2015,Co-Chairs ready leaders' meeting,"The OSCE Minsk Group Co-Chairs met with Azerbaijani, Armenian, and de-facto Nagorno-Karabakh leaders to appeal for an adherance to the ceasefire, as well as to prepare for a meeting of presidents later in the year. ",,,,,,,#003e51,,,,,,,,
2015,2,21,,,,,,21 February 2015,Azerbaijan devaluates national currency,Azeribaijan’s central bank devalued the manat by 33.5 per cent to the dollar and by 30 per cent to the euro as slumping oil prices and an economic crisis in major trading partner Russia put pressure on the currency. ,,,,,,,#003e51,,,,,,,,
2015,3,11,,,,,,11 March 2015,Armenia accuses Azerbaijan of hampering the OSCE's work,"At a Special Meeting of the OSCE Permanent Council, Armenia's Foreign Minister Edward Nalbandian criticised Azerbaijan's recent threat to veto any budget that allocates funds to the creation of an ""investigative mechanism"", which had long been discussed as a means of examining front-line altercations. He also said Azerbaijan tried ""to hinder the operation of field missions in the neighboring participating states"". ",,,,,,,#003e51,,,,,,,,
